Rank,City,State,2018 Estimate,2010 Census,Change,2016 Land Area Km,2016 Land Area Mi,2016 Population Density km,2016 Population Density mi,Land Area,Water Area,Time Zone,Mayor,Airport,Official Website,Climate,Wiki link
228,Victorville, California,"122,312","115,903",+5.53%,73.3 sq mi,189.8 km2,"1,668/sq mi",644/km2,73.33 sq mi (189.92 km2),0.56 sq mi (1.46 km2)  0.76%,UTC-8 (Pacific Time Zone),[4],,http://www.victorvilleca.gov/,"The city is located in the High Desert, an area known for its unique and moderate weather patterns. The National Weather Service has maintained a weather station in Victorville since 1917. Official records show that Victorville has a cold desert climate (BWk) with four distinct seasons.
","/wiki/Victorville,_California"
229,Pearland, Texas,"122,149","91,252",+33.86%,46.3 sq mi,119.9 km2,"2,453/sq mi",947/km2,48.329 sq mi (125.3 km2),.175 sq mi (.45 km2),UTC−6 (Central (CST)),,"Two privately owned airports, Pearland Regional Airport and Skyway Manor Airport, are in the city limits. Both airports allow public use.[citation needed] The land with Pearland Regional Airport was annexed into the Pearland city limits in 2017.[31]
",http://www.cityofpearland.com,,"/wiki/Pearland,_Texas"
230,Vallejo, California,"121,913","115,942",+5.15%,30.7 sq mi,79.5 km2,"3,951/sq mi","1,525/km2",30.67 sq mi (79.44 km2),18.87 sq mi (48.87 km2)  38.0%,UTC−8 (Pacific),[2],,http://www.ci.vallejo.ca.us,"Vallejo has a mild, coastal Mediterranean climate and can be an average of 10 degrees cooler than nearby inland cities. Vallejo is influenced by its position on the northeastern shore of San Pablo Bay, but is less sheltered from heatwaves than areas directly on or nearer the Pacific Ocean/Golden Gate such as San Francisco and Oakland. Although slightly less marine, average temperatures range between 8°C (46°F) in January and 19.8°C (67.6°F) in July.[14] However, summer is very long with July–September being almost equal in historical average temperatures. This seasonal lag sees October averages being higher than in May[14] in spite of it being after the Equinox (meaning less daylight than darkness).
","/wiki/Vallejo,_California"
231,Ann Arbor, Michigan,"121,890","113,934",+6.98%,28.1 sq mi,72.8 km2,"4,298/sq mi","1,659/km2",27.90 sq mi (72.27 km2),0.87 sq mi (2.25 km2),UTC-5 (EST),Christopher Taylor,"Ann Arbor Municipal Airport is a small, city-run general aviation airport located south of I-94. Detroit Metropolitan Airport, the area's large international airport, is about 25 miles (40km) east of the city, in Romulus.[160] Willow Run Airport east of the city near Ypsilanti serves freight, corporate, and general aviation clients.[161]
",http://www.a2gov.org/,"Ann Arbor has a typically Midwestern humid continental climate (Köppen Dfa), which is influenced by the Great Lakes. There are four distinct seasons: winters are cold and snowy, with average highs around 34°F (1°C). Summers are warm to hot and humid, with average highs around 81°F (27°C) and with slightly more precipitation.  Spring and autumn are transitional between the two. The area experiences lake effect weather, primarily in the form of increased cloudiness during late fall and early winter.[45] The monthly daily average temperature in July is 72.6°F (22.6°C), while the same figure for January is 24.5°F (−4.2°C). Temperatures reach or exceed 90°F (32°C) on 10 days,[46] and drop to or below 0°F (−18°C) on 4.6 nights.[46] Precipitation tends to be the heaviest during the summer months, but most frequent during winter. Snowfall, which normally occurs from November to April but occasionally starts in October, averages 58 inches (147cm) per season. The lowest recorded temperature was −23°F (−31°C) on February 11, 1885 and the highest recorded temperature was 105°F (41°C) on July 24, 1934.[46]
","/wiki/Ann_Arbor,_Michigan"
232,Berkeley, California,"121,643","112,580",+8.05%,10.5 sq mi,27.2 km2,"11,547/sq mi","4,458/km2",10.47 sq mi (27.11 km2),7.23 sq mi (18.72 km2)  40.83%,UTC−8 (Pacific),Jesse Arreguín,,http://www.cityofberkeley.info,"Berkeley has a cool summer Mediterranean climate (type Csb in the Köppen climate classification), with dry summers and wet winters. Berkeley's location directly opposite the Golden Gate ensures that typical eastward fog flow blankets the city more often than its neighbors.[55] The summers are cooler than a typical Mediterranean climate thanks to upwelling ocean currents along the California coast. These help produce cool and foggy nights and mornings.
","/wiki/Berkeley,_California"
233,Allentown, Pennsylvania,"121,433","118,032",+2.88%,17.5 sq mi,45.3 km2,"6,882/sq mi","2,657/km2",17.55 sq mi (45.45 km2),0.48 sq mi (1.24 km2),UTC−5 (EST),Ray O'Connell,"The city's primary airport, Lehigh Valley International Airport, is located three miles (5km) northeast of Allentown in Hanover Township and is operated by the Lehigh–Northampton Airport Authority. The airport has direct flights to Atlanta, Detroit, Chicago–O'Hare, Charlotte, Philadelphia, and cities in Florida. The region is also served by Allentown Queen City Municipal Airport, a two-runway facility located in South Allentown used predominantly for private aviation.
",http://www.allentownpa.gov/,"Allentown has a humid continental climate (Köppen Dfa), using the 32 degree isotherm. Summers are typically hot and muggy, fall and spring are generally mild, and winter is cold. Precipitation is almost uniformly distributed throughout the year.
","/wiki/Allentown,_Pennsylvania"
234,Richardson, Texas,"120,981","99,223",+21.93%,28.6 sq mi,74.1 km2,"3,963/sq mi","1,530/km2",28.6 sq mi (74.0 km2),0.08 sq mi (0.2 km2),UTC−6 (CST),Steve Mitchell,,http://www.telecomcorridor.com/chamber/downloads/Relocation%20Packet.pdf,"The climate in this area is characterized by hot, humid summers and generally mild to cool winters.  According to the Köppen Climate Classification system, Richardson has a humid subtropical climate, abbreviated ""Cfa"" on climate maps.[36]
","/wiki/Richardson,_Texas"
235,Odessa, Texas,"120,568","99,940",+20.64%,45.2 sq mi,117.1 km2,"2,608/sq mi","1,007/km2",43.9 sq mi (113.7 km2),0.1 sq mi (0.2 km2),UTC−6 (CST),City Manager,,http://www.odessa-tx.gov/,"Odessa has the semiarid climate typical of West Texas. Summers are hot and sunny, while winters are mild and dry. Most rainfall occurs in late spring and summer; snowfall is rare. The area exhibits a large diurnal temperature range and frequent high winds.[11]
","/wiki/Odessa,_Texas"
236,Arvada, Colorado,"120,492","106,433",+13.21%,38.6 sq mi,100.0 km2,"3,043/sq mi","1,175/km2",38.67 sq mi (100.15 km2),0.72 sq mi (1.87 km2),UTC−7 (MST),[5],,http://arvada.org,"The climate is described as Humid Continental by the Köppen Climate System, abbreviated as Dfb.[23]
","/wiki/Arvada,_Colorado"
237,Cambridge, Massachusetts,"118,977","105,162",+13.14%,6.4 sq mi,16.6 km2,"17,289/sq mi","6,675/km2",6.43 sq mi (16.65 km2),0.70 sq mi (1.81 km2),UTC−5 (Eastern),City Manager,,http://cambridgema.gov,"In the Koppen-Geiger classification Cambridge has a warm continental summer climate (Dfa) that can appear in the southern end of New England's interior. The city has abundant rainfall year round, and the average January temperature is 26.6°F (- 3°C), making Cambridge part of Group D, independent of the isotherm. There are four well-defined seasons and no dry season.[34]
","/wiki/Cambridge,_Massachusetts"
238,Sugar Land, Texas,"118,600","78,817",+50.48%,34.0 sq mi,88.1 km2,"3,488/sq mi","1,347/km2",City,1.6 sq mi (4.2 km2),UTC−6 (Central (CST)),City Manager,,http://www.sugarlandtx.gov/,"Sugar Land's climate is classified as being humid subtropical, featuring long, hot and humid summers, and mild to cool winters. The city is located in the Gulf coastal plains biome, and the vegetation is classified as a temperate grassland. The average yearly precipitation is 48inches. Prevailing winds are from the south and southeast during most of the year, bringing heat and moisture from the Gulf of Mexico.
","/wiki/Sugar_Land,_Texas"
239,Beaumont, Texas,"118,428","118,296",+0.11%,82.1 sq mi,212.6 km2,"1,441/sq mi",556/km2,82.8 sq mi (214.5 km2),3.1 sq mi (7.9 km2),UTC−6 (CST),City Manager,,http://beaumonttexas.gov,"The city of Beaumont is within the humid subtropical climate regime,[24]  and is within the Piney Woods region of eastern Texas.[25]  The area around Beaumont receives the most rainfall in the state: more than 48 inches (1,200mm) annually. Summers in the area are usually hot and humid, due to the moisture that flows inland off of the Gulf of Mexico. Winters are usually kept mild by the warm gulf waters. Hurricanes also pose a threat to the region. Hurricane Rita in 2005 and Hurricane Ike in 2008 both caused significant damage. Hurricane Harvey in 2017 caused historic flooding throughout the city.
","/wiki/Beaumont,_Texas"
240,Lansing, Michigan,"118,427","114,297",+3.61%,39.1 sq mi,101.3 km2,"2,967/sq mi","1,146/km2",39.17 sq mi (101.45 km2),0.64 sq mi (1.66 km2),UTC-5 (EST),Andy Schor,"Scheduled commercial airline service is offered from Capital Region International Airport (formerly known as Capital City Airport).[140] Delta Air Lines maintains routes to Detroit and Minneapolis. United Airlines maintains routes to Chicago O'Hare. American Airlines offers non-stop flights to Washington, D.C. and Chicago O'Hare.  Apple Vacations provides seasonal flights to Cancún, Mexico; Montego Bay, Jamaica; and Punta Cana, Dominican Republic.[141] UPS has a freight hub at Capital Region International Airport making up part of the 42 million pounds of annual cargo moving through the airport.[142] In 2008 the airport received a port of entry designation – known as Port Lansing – and now has a permanent customs facility, thus changing its name to reflect the port of entry status.[143]  The same year a 500-foot (150m) extension to the largest of the three runways – now 8,506-foot (2,593m) – was completed to allow for larger aircraft to use the airport.[144]
",http://www.lansingmi.gov,"Lansing has a Midwestern humid continental climate (Köppen Dfb/Dfa) that is influenced by the Great Lakes, and is part of USDA Hardiness zone 5b.[47] Winters are cold with moderate to heavy snowfall, while summers are very warm and humid. The monthly daily average temperature in July is 71.5°F (21.9°C), while the same figure for January is 23.4°F (−4.8°C); the annual mean is 48.21°F (9.01°C). On average, temperatures reach or exceed 90°F (32.2°C) on 8.8 days of the year and drop to or below 0°F (−17.8°C) on 10−11 nights.[48] Precipitation is generally greatest during summer but still frequent and significant in winter. Snowfall, which normally occurs from November to April, averages 51.1 inches (130cm) per season, significantly less than areas to the west such as Grand Rapids as Lansing is relatively immune to lake-effect snows; seasonal snowfall has historically ranged from 16.6in (42cm) in 1863−64 to 97.2in (247cm) in 1880−81. The highest and lowest officially recorded temperatures were 103°F (39°C) on July 6, 2012,[48] and −37°F (−38°C) on February 2, 1868,[49] with the last −20°F (−29°C) or colder reading occurred on February 27, 1994; the record low maximum is −4°F (−20°C) on January 22, 1883, while, conversely, the record high minimum is 78°F (26°C) on August 1, 2006 and July 18, 1942.[48] Freezing temperatures in June are exceedingly rare and have not occurred in July or August since the 19th century; on average, they arrive on October 4 and depart on May 7, allowing a growing season of 149 days. The average window for measurable snow (≥0.1in or 0.25cm) is November 4 thru April 6.
","/wiki/Lansing,_Michigan"
241,Evansville, Indiana,"117,963","117,429",+0.45%,47.3 sq mi,122.5 km2,"2,526/sq mi",975/km2,47.35 sq mi (122.63 km2),0.49 sq mi (1.27 km2),UTC-6 (CST),Lloyd Winnecke,,http://www.evansvillegov.org,"Evansville has a humid subtropical climate (Köppen Cfa), and straddles the border between USDA Plant Hardiness Zones 6b and 7a.[28] Summers are hot and humid, winters are cool to mild. Average temperatures range from 32.5°F (0.3°C) in January to 78.0°F (25.6°C) in July.[29] Annual precipitation averages 45.3 inches (1,150mm), including an average seasonal snowfall of 11.8 inches (30cm).[29][30]  Evansville winters can range from just 0.5in (1.3cm) of snowfall in 2011–12, up to 37.9in (96cm) in 1969–70.[31] On average, there are 41days annually with a maximum temperature of 90°F (32°C) or above and 17days with a maximum at or below freezing; the mean first and last freeze dates are October 26 and April 7, resulting in a frost-free period of 201days.[29] Extreme temperatures range from −23°F (−31°C) on February 2, 1951 up to 111°F (44°C) on July 28, 1930; the record cold maximum of −3°F (−19°C) was set on January 20, 1985 and December 22, 1989, while, conversely, the record warm minimum of 82°F (28°C) was last reached July 8, 1980.[29]
","/wiki/Evansville,_Indiana"
242,Rochester, Minnesota,"116,961","106,769",+9.55%,54.6 sq mi,141.4 km2,"2,088/sq mi",806/km2,55.20 sq mi (142.95 km2),0.29 sq mi (0.75 km2)  0.29%,UTC−6 (CST),Kim Norton,,http://www.rochestermn.gov,"With a slightly higher altitude and without the UHI as the Twin Cities, the climate is warm-summer humid continental climate (Köppen: Dfb) even being further south, with hot summers and very cold winters.[19] The city features four distinct seasons. Rochester sees on average 30 inches (760mm) of rainfall and 48 inches (120cm) of snowfall per year. Significant snow accumulation is common during the winter months. Spring and fall are transitional seasons, with a general warming trend during the spring and a general cooling trend during the fall. However, it is not uncommon to see some snowfall during the early months of spring and the later months of fall.[20] Rochester is the second windiest city in the United States, with wind speeds averaging 12.6mph.[21] January to April are the windiest months on average, according to The Weather Channel. Rochester has also been hit by two F4 tornadoes since 1950 (the first on May 10, 1953, and the other on September 16, 1962).[22]
","/wiki/Rochester,_Minnesota"
243,Independence, Missouri,"116,925","116,830",+0.08%,77.8 sq mi,201.5 km2,"1,504/sq mi",581/km2,77.57 sq mi (200.91 km2),0.68 sq mi (1.76 km2),UTC−6 (Central (CST)),[1],,http://www.indepmo.org,,"/wiki/Independence,_Missouri"
244,Fairfield, California,"116,884","105,321",+10.98%,40.9 sq mi,105.9 km2,"2,806/sq mi","1,083/km2",40.92 sq mi (105.97 km2),0.27 sq mi (0.70 km2)  6.95%,UTC−8 (Pacific),[3],,http://www.fairfield.ca.gov,"Fairfield has a hot-summer Mediterranean climate (Köppen Csa). Summers have hot afternoons with cool nights with a lengthy dry period, whereas winters see frequent rainfall with mild to cool temperatures.
","/wiki/Fairfield,_California"
245,Provo, Utah,"116,702","112,488",+3.75%,41.7 sq mi,108.0 km2,"2,803/sq mi","1,082/km2",41.7 sq mi (107.9 km2),2.5 sq mi (6.5 km2),UTC−7 (Mountain (MST)),Michelle Kaufusi,,http://www.provo.org/,"Provo has a humid continental climate (Köppen Dsa/Dfa) bordering on a humid subtropical climate (Cfa) or hot-summer Mediterranean climate (Csa), with four distinct seasons. Overall, annual rainfall at the location of Brigham Young University is around 19.75 inches or 500 millimetres; however, the western part of the metropolitan area near Orem is substantially drier, receiving only around 13.5 inches or 340 millimetres of precipitation and consequently has a cool semi-arid climate (Köppen BSk).[23] The wettest calendar year in Provo has been 1983 with 37.54 inches (953.5mm) and the driest 2002 with 10.65 inches (270.5mm).[23]
","/wiki/Provo,_Utah"
246,Clearwater, Florida,"116,478","107,685",+8.17%,25.9 sq mi,67.1 km2,"4,415/sq mi","1,705/km2",25.99 sq mi (67.31 km2),9.83 sq mi (25.46 km2),UTC-5 (Eastern (EST)),George N. Cretekos,,http://www.myclearwater.com,"Clearwater has a humid subtropical climate. Clearwater is far enough south that it lies in the broad transition zone from subtropical to tropical climates. As such, Clearwater is mostly warm to hot year round, with few nights of frost. Most of the annual rainfall comes in the wet season (June through September), when daily thundershowers erupt due to the strong solar heating. The dry season starts in October and runs though May, at which time the weather is sunny, dry, and there is little change in daily weather.[35]
","/wiki/Clearwater,_Florida"
247,College Station, Texas,"116,218","93,857",+23.82%,51.0 sq mi,132.1 km2,"2,199/sq mi",849/km2,49.5 sq mi (128.1 km2),0.2 sq mi (0.5 km2),UTC-6 (CST),City Council,,http://www.cstx.gov,"The local climate is subtropical and temperate and winters are mild with periods of low temperatures usually lasting less than two months.
","/wiki/College_Station,_Texas"
248,West Jordan, Utah,"116,046","103,712",+11.89%,32.3 sq mi,83.7 km2,"3,520/sq mi","1,360/km2",30.9 sq mi (80.0 km2),0.0 sq mi (0.0 km2),UTC−7 (Mountain (MST)),,,http://www.westjordan.utah.gov/,,"/wiki/West_Jordan,_Utah"
249,Carlsbad, California,"115,877","105,328",+10.02%,37.7 sq mi,97.6 km2,"3,023/sq mi","1,167/km2",37.74 sq mi (97.74 km2),1.38 sq mi (3.57 km2)  3.55%,UTC−8 (Pacific),[3],,http://www.carlsbadca.gov,"Carlsbad has a semi-arid Mediterranean climate (Koppen classification BSh) and averages 263 sunny days per year. Winters are mild with periodic rain. Frost is rare along the coast, but sometimes occurs in inland valleys in December and January. Summer is almost rain free, but sometimes overcast and cool with fog off the Pacific. While most days have mild and pleasant temperatures, hot dry Santa Ana winds bring high temperatures on a few days each year, mostly in the fall.
","/wiki/Carlsbad,_California"
250,El Monte, California,"115,586","113,475",+1.86%,9.6 sq mi,24.9 km2,"12,063/sq mi","4,658/km2",9.56 sq mi (24.77 km2),0.09 sq mi (0.22 km2)  0.89%,UTC−8 (Pacific),Andre Quintero,,http://ci.el-monte.ca.us,"El Monte has a Mediterranean climate (Köppen climate classification Csa).
","/wiki/El_Monte,_California"
251,Murrieta, California,"114,985","103,466",+11.13%,33.6 sq mi,87.0 km2,"3,324/sq mi","1,283/km2",33.60 sq mi (87.02 km2),0.04 sq mi (0.09 km2)  0.11%,UTC−8 (Pacific),,,http://www.murrieta.org,"Murrieta has a Mediterranean climate or Dry-Summer Subtropical (Köppen climate classification Csa). Murrieta has an average of 263 sunshine days and 35 days with measurable precipitation annually.[21] April through November is warm to hot and dry with average high temperatures of 77–91°F (25–33°C) and lows of 44–60°F (7–16°C). The period of November through March is somewhat rainy, as shown in the table to left. The city is also subject to the phenomenon typical of a microclimate: temperatures can vary as much as 18°F (10°C) between inland areas and the coast, with a temperature gradient of over 1°F per mile (0.3°C/km) from the coast inland. Murrieta averages 15 inches (380 millimeters) of precipitation annually, which mainly occurs during the winter and spring (November through April) with generally light rain showers, but sometimes heavy rainfall and thunderstorms. Snowfall is rare in the city basin, but nearby mountains slopes typically receive snowfall each winter.[citation needed]
","/wiki/Murrieta,_California"
252,Temecula, California,"114,742","100,097",+14.63%,37.3 sq mi,96.6 km2,"3,031/sq mi","1,170/km2",37.27 sq mi (96.52 km2),0.01 sq mi (0.03 km2)  0.05%,UTC−8 (Pacific),City manager,,http://temeculaca.gov,"Temecula has a warm Mediterranean climate (Köppen:Csa).[32] August is typically the hottest month of the year with December being the coldest month. Most precipitation occurs from November to March with February being the wettest month. Winter storms generally bring moderate precipitation, but strong winter storms are not uncommon especially during ""El Niño"" years. The driest month is June. Annual precipitation is 14.14inches. Morning marine layer is common during May and June. From July to September, Temecula experiences hot, dry weather with the occasional North American monsoonal flow that increases the humidity and brings isolated thunderstorms. Most of the storms tend to be short lived with little, if any rainfall. During late fall into winter, Temecula experiences dry, windy north-eastern Santa Ana winds. Snowfall is rare, but Temecula has experienced traces of snowfall on occasion,[33] some as recently as December 2014.[34] A rare F1 tornado touched down in a Temecula neighborhood on February 19, 2005.[35]
","/wiki/Temecula,_California"
253,Springfield, Illinois,"114,694","116,250",−1.34%,60.1 sq mi,155.7 km2,"1,925/sq mi",743/km2,60.09 sq mi (155.64 km2),6.28 sq mi (16.27 km2),UTC−6 (CST),Jim Langfelder,,http://www.springfield.il.us,"Springfield has a humid continental climate (Köppen Dfa) and experiences typical mid-latitude weather. Hot, humid summers and cold, rather snowy winters are the norm. Springfield is located in Tornado Alley and experiences large numbers of tornadoes. From 1961 to 1990 the city of Springfield averaged 35.25 inches (895mm) of precipitation per year.[37] During that same period the average yearly temperature was 52.4°F (11.3°C), with a summer maximum of 76.5°F (24.7°C) in July and a winter minimum of 24.2°F (−4.3°C) in January.[38]
","/wiki/Springfield,_Illinois"
254,Palm Bay, Florida,"114,194","103,190",+10.66%,65.7 sq mi,170.2 km2,"1,676/sq mi",647/km2,65.72 sq mi (170.22 km2),3.14 sq mi (8.12 km2)  4.56%,UTC−5 (Eastern (EST)),[2],,http://www.palmbayflorida.org/,"As of 2010, there were 45,220 households out of which 12.7% were vacant. As of 2000, 34.0% had children under the age of 18 living with them, 55.0% were married couples living together, 12.2% had a female householder with no husband present, and 28.2% are non-families. 21.8% of all households were made up of individuals and 8.3% had someone living alone who was 65 years of age or older. The average household size was 2.60 and the average family size was 3.03.
","/wiki/Palm_Bay,_Florida"
255,Costa Mesa, California,"113,615","109,960",+3.32%,15.7 sq mi,40.7 km2,"7,186/sq mi","2,775/km2",15.72 sq mi (40.72 km2),0.08 sq mi (0.21 km2)  0.29%,UTC-8 (PST),Mayor Pro Tem,,http://www.costamesaca.gov,"Costa Mesa has a semi-arid climate (Köppen climate classification BSh) with mild temperatures year round. Rain falls primarily in the winter months, and is close to nonexistent during the summer. Morning low clouds and fog are common due to its coastal location.
","/wiki/Costa_Mesa,_California"
256,Westminster, Colorado,"113,479","106,114",+6.94%,31.7 sq mi,82.1 km2,"3,592/sq mi","1,387/km2",31.73 sq mi (82.18 km2),2.32 sq mi (6.01 km2),UTC−7 (MST),City Manager,,http://www.cityofwestminster.us,,"/wiki/Westminster,_Colorado"
257,North Charleston, South Carolina,"113,237","97,471",+16.18%,73.7 sq mi,190.9 km2,"1,483/sq mi",573/km2,73.2 sq mi (189.6 km2),3.5 sq mi (9.0 km2),UTC−5 (EST),City,,http://www.northcharleston.org,"As of the census of 2010, there were 97,471 people, 35,316 households, and 23,271 families residing in the city. The population density was 1,360.6 people per square mile (525.3/km2). There were 42,219 housing units at an average density of 574.5 per square mile (221.8/km2). The racial makeup of the city was 37.90% Non-Hispanic White, 46.69% Non-Hispanic African American, 0.34% Native American, 1.92% Asian, 0.12% Pacific Islander, 0.23% from other races, 1.90% from two or more races, and 10.89% Hispanic or Latino of any race.
","/wiki/North_Charleston,_South_Carolina"
258,Miami Gardens, Florida,"113,069","107,167",+5.51%,18.2 sq mi,47.1 km2,"6,212/sq mi","2,398/km2",18.24 sq mi (47.24 km2),0.78 sq mi (2.02 km2),UTC-5 (EST),Vice Mayor,,http://www.miamigardens-fl.gov/,,"/wiki/Miami_Gardens,_Florida"
259,Manchester, New Hampshire,"112,525","109,565",+2.70%,33.1 sq mi,85.7 km2,"3,339/sq mi","1,289/km2",33.1 sq mi (85.7 km2),1.9 sq mi (4.8 km2)  5.33%,UTC-5 (Eastern),Joyce Craig,"Manchester-Boston Regional Airport, the fourth-largest passenger and third-largest cargo airport in New England, serves the city.
",http://www.manchesternh.gov,"Manchester has a four-season humid continental climate (Köppen Dfa), with long, cold, snowy winters, and very warm and somewhat humid summers; spring and fall in between are crisp and relatively brief transitions. The monthly daily average temperature ranges from 24.4°F (−4.2°C) in January to 72.5°F (22.5°C) in July. On average, there are 11days of highs at or above 90°F (32°C) and 3.0days of lows at or below 0°F (−18°C) annually.[22] Precipitation is well-spread throughout the year, though winter is the driest season while March tends to be the wettest. Record temperatures range from −29°F (−34°C) on February 16, 1943, up to 103°F (39°C) on July 22, 2011.[23]
","/wiki/Manchester,_New_Hampshire"
260,High Point, North Carolina,"112,316","104,371",+7.61%,55.2 sq mi,143.0 km2,"2,015/sq mi",778/km2,53.8 sq mi (139.3 km2),1.7 sq mi (4.3 km2),UTC−5 (EST),City,,http://www.highpointnc.gov,"Summers are hot and humid, and the dew points will often climb to near or even above 70°F (21°C) by late June through much of August. Nights usually remain warm above 70 degrees. Most summers the hottest day will record a maximum between 96 and 98°F (36 and 37°C). About once every 5 to 10 years the city will climb to or above 100°F (38°C). Winters are cool to cold. Nights average near 30°F (−1°C), with the coldest averages in the upper 20s from late December through early February. Most winters the coldest temperature will dip to between 10 and 15°F (−12 and −9°C). About once every 10 years the minimum will dip below 5°F (−15°C) and to near or below 0°F (−18°C) approximately once every 20 years. Daytime highs average near 50°F (10°C) in the winter, with the coldest stretch between late December through early February with highs averaging in the upper 40s. Most winters there will be 2 to 4 days that remain below freezing. The hottest temperature on record for the area was 103°F (39°C) on August 18, 1988 (in nearby Greensboro the high reached 104°F (40°C) in 1914), and the coldest was −8°F (−22°C) on January 21, 1985.
","/wiki/High_Point,_North_Carolina"
261,Downey, California,"112,269","111,772",+0.44%,12.4 sq mi,32.1 km2,"9,134/sq mi","3,527/km2",12.41 sq mi (32.14 km2),0.16 sq mi (0.41 km2)  1.27%,UTC-8 (PST),City manager,,http://www.downeyca.org,"According to the Köppen Climate Classification system, Downey has a semi-arid climate, abbreviated ""BSk"" on climate maps.[21]
","/wiki/Downey,_California"
262,Clovis, California,"112,022","95,631",+17.14%,24.2 sq mi,62.7 km2,"4,404/sq mi","1,700/km2",24.40 sq mi (63.19 km2),0.00 sq mi (0.00 km2)  0%,UTC−8 (Pacific),[3],,http://www.ci.clovis.ca.us,,"/wiki/Clovis,_California"
263,Pompano Beach, Florida,"111,954","99,845",+12.13%,24.0 sq mi,62.2 km2,"4,558/sq mi","1,760/km2",24.04 sq mi (62.26 km2),0.67 sq mi (1.74 km2)  5.54%,UTC−5 (EST),Vice Mayor,,http://www.pompanobeachfl.gov,"Pompano Beach has a tropical rainforest climate.
","/wiki/Pompano_Beach,_Florida"
264,Pueblo, Colorado,"111,750","106,595",+4.84%,53.6 sq mi,138.8 km2,"2,058/sq mi",795/km2,53.59 sq mi (138.80 km2),0.79 sq mi (2.03 km2),UTC−7 (MST),Nick Gradisar,,http://www.pueblo.us/,"Pueblo sits in a high desert area of terrain in southern Colorado and is near the western edge of the Southwestern Tablelands ecology region. Pueblo has a steppe climate (Köppen BSk), with four distinct seasons. Winter days are usually mild, but the high does not surpass freezing on an average 15.3 days per year, and lows fall to 0°F (−18°C) or below on 7.8 nights.[31] Snowfall usually falls in light amounts, and due to the high altitude, and the accompanying stronger sun, rarely remains on the ground for long (typically, for one or two days). January is the snowiest month, followed by March, and the seasonal average is 31.8 inches (81cm);[31] however, snow is uncommon in October, and in May or September, snow is exceedingly rare, with an average first and last date of measurable (≥0.1in or 0.25cm) snowfall being November 6 and April 13, respectively.[31] Summers are hot and dry, with 90°F (32°C) or greater highs are on average seen 66.7 days per year, with 100°F (38°C) or greater on 10.2 days.[31] Diurnal temperature ranges are large throughout the year, averaging 33.4°F (18.6°C).
","/wiki/Pueblo,_Colorado"
265,Elgin, Illinois,"111,683","108,188",+3.23%,37.4 sq mi,96.9 km2,"2,998/sq mi","1,158/km2",37.45 sq mi (96.98 km2),0.49 sq mi (1.27 km2)  1.43%,UTC−6 (Central),Dave Kaptain,,http://cityofelgin.org,"On March 28, 1920, Elgin was struck by several tornadoes along the Fox River that caused significant damage to Chicago and several western suburbs.  Four people were killed and several businesses and homes were destroyed, including the Opera House and Grant Theater.[13]
","/wiki/Elgin,_Illinois"
266,Lowell, Massachusetts,"111,670","106,519",+4.84%,13.6 sq mi,35.2 km2,"8,129/sq mi","3,139/km2",13.8 sq mi (35.7 km2),0.8 sq mi (2.0 km2),UTC−5 (Eastern),City Manager,,http://www.lowellma.gov/,,"/wiki/Lowell,_Massachusetts"
267,Antioch, California,"111,535","102,372",+8.95%,29.4 sq mi,76.1 km2,"3,772/sq mi","1,456/km2",29.35 sq mi (76.01 km2),0.78 sq mi (2.01 km2)  2.52%,UTC−8 (Pacific),[2],,http://www.ci.antioch.ca.us,"Antioch has a semi-arid climate (Köppen climate classification BSk) with hot dry summers, and mild winters with modest rainfall.[25]
","/wiki/Antioch,_California"
268,West Palm Beach, Florida,"111,398","99,919",+11.49%,55.1 sq mi,142.7 km2,"1,963/sq mi",758/km2,55.13 sq mi (142.80 km2),2.56 sq mi (6.63 km2),UTC−5 (EST),[2],,http://wpb.org/,"West Palm Beach has a trade-wind[39] tropical rainforest climate (Köppen Af), with mean temperatures in all months above 64.4°F (18°C).[40][41] This tropical climate allows for many species of tropical plants throughout the city.
","/wiki/West_Palm_Beach,_Florida"
269,Peoria, Illinois,"111,388","115,007",−3.15%,48.2 sq mi,124.8 km2,"2,371/sq mi",915/km2,48.23 sq mi (124.92 km2),2.22 sq mi (5.75 km2),UTC−6 (CST),Jim Ardis,,http://www.peoriagov.org,"Peoria has a humid continental climate (Köppen Dfa), with cold, snowy winters, and hot, humid summers. Monthly daily mean temperatures range from 22.5°F (−5.3°C) to 75.2°F (24.0°C). Snowfall is common in the winter, averaging 26.3 inches (67cm), but this figure varies considerably from year to year. Precipitation, averaging 36 inches (914mm), peaks in the spring and summer, and is the lowest in winter. Extremes have ranged from −27°F (−33°C) in January 1884 to 113°F (45°C) in July 1936.[15]
","/wiki/Peoria,_Illinois"
270,Everett, Washington,"111,262","103,019",+8.00%,33.3 sq mi,86.2 km2,"3,275/sq mi","1,264/km2",33.20 sq mi (85.98 km2),14.71 sq mi (38.11 km2),UTC−8 (PST),[2],,http://everettwa.gov,"The climate of Everett is heavily influenced by marine air masses, which tend to moderate temperatures with seasonal variations much less pronounced than inland areas. Everett has an oceanic climate (Cfb) due to all months having precipitation levels greater than 1 inch (25.4mm), though the drying trend in summer resembles the rainfall distribution of a warm-summer Mediterranean climate (Csb) according to the Köppen climate classification system.
","/wiki/Everett,_Washington"
